Date,Open,High,Low,Close,Volume
2018-01-31,199.0089111328125,207.1949462890625,198.32923889160156,202.69613647460938,0
2018-02-28,201.87652587890625,201.87652587890625,191.69143676757812,192.60499572753906,0
2018-03-31,191.1707000732422,191.1707000732422,182.7477569580078,185.18357849121094,0
2018-04-30,185.7972869873047,191.82737731933594,185.41348266601562,191.82737731933594,0
2018-05-31,190.0562286376953,191.5005340576172,184.72080993652344,189.45751953125,0
2018-06-30,188.27508544921875,190.73089599609375,181.7822265625,184.54689025878906,0
2018-07-31,184.05413818359375,193.5005645751953,182.98065185546875,193.29566955566406,0
2018-08-31,193.1727294921875,201.09490966796875,192.78790283203125,201.09490966796875,0
2018-09-30,199.58763122558594,199.70855712890625,189.20364379882812,189.20364379882812,0
2018-10-31,190.8158721923828,190.8158721923828,180.77572631835938,190.10220336914062,0
2018-11-30,190.23614501953125,193.5215606689453,189.8983154296875,190.8628387451172,0
2018-12-31,192.14321899414062,195.63352966308594,185.8982391357422,195.63352966308594,0
2019-01-31,196.6060791015625,196.8189697265625,190.09422302246094,194.32217407226562,0
2019-02-28,193.17372131347656,193.41561889648438,185.768310546875,190.86683654785156,0
2019-03-31,193.1727294921875,207.9675750732422,193.1727294921875,207.9675750732422,0
2019-04-30,209.65975952148438,210.25648498535156,204.6771697998047,207.09901428222656,0
2019-05-31,205.7306671142578,214.8522491455078,197.44065856933594,214.0476531982422,0
2019-06-30,215.3710174560547,215.70384216308594,209.73373413085938,215.4209747314453,0
2019-07-31,215.30604553222656,216.6154022216797,201.39175415039062,202.59417724609375,0
2019-08-31,199.61761474609375,199.61761474609375,191.32362365722656,196.0083465576172,0
2019-09-30,192.4570770263672,204.78411865234375,192.4570770263672,201.4117431640625,0
2019-10-31,198.6020965576172,208.59628295898438,194.98385620117188,208.59628295898438,0
2019-11-30,208.8241729736328,211.83572387695312,205.76864624023438,210.12254333496094,0
2019-12-31,209.538818359375,210.6392822265625,203.6246795654297,210.5023651123047,0
2020-01-31,211.13905334472656,213.577880859375,207.36087036132812,208.15548706054688,0
2020-02-29,202.15138244628906,209.58380126953125,194.98085021972656,194.98085021972656,0
2020-03-31,193.10675048828125,196.7799835205078,142.5421600341797,157.1001434326172,0
2020-04-30,152.74525451660156,172.4147491455078,151.00408935546875,172.4147491455078,0
2020-05-31,165.45510864257812,167.99388122558594,157.52793884277344,167.99388122558594,0
2020-06-30,171.30528259277344,184.0281524658203,171.30528259277344,178.41184997558594,0
2020-07-31,180.0210723876953,188.63592529296875,179.0235595703125,184.67282104492188,0
2020-08-31,184.1071014404297,199.6605987548828,184.1071014404297,193.2756805419922,0
2020-09-30,194.4781036376953,195.3756561279297,177.11846923828125,182.6807861328125,0
2020-10-31,184.81576538085938,190.69192504882812,182.4608917236328,186.8068084716797,0
2020-11-30,189.26560974121094,211.345947265625,189.26560974121094,211.05308532714844,0
2020-12-31,213.19107055664062,228.0698699951172,213.19107055664062,227.7720184326172,0
2021-01-31,229.00741577148438,241.11956787109375,227.589111328125,227.589111328125,0
2021-02-28,236.19296264648438,258.16033935546875,236.19296264648438,252.04029846191406,0
2021-03-31,255.1468048095703,260.8430480957031,243.7563018798828,248.0072479248047,0
2021-04-30,251.37461853027344,251.37461853027344,239.7562255859375,246.64190673828125,0
2021-05-31,246.77784729003906,267.2889404296875,246.6569061279297,267.2889404296875,0
2021-06-30,267.31890869140625,275.36602783203125,267.31890869140625,271.493896484375,0
2021-07-31,271.2000427246094,276.60345458984375,271.2000427246094,276.5554504394531,0
2021-08-31,278.4575500488281,280.7914123535156,270.02362060546875,279.8848571777344,0
2021-09-30,280.11175537109375,294.7486572265625,280.11175537109375,294.27490234375,0
2021-10-31,293.9500732421875,307.7033996582031,293.9500732421875,295.9870910644531,0
2021-11-30,299.0066223144531,303.6843566894531,287.2003173828125,287.2003173828125,0
2021-12-31,289.4312744140625,294.4648132324219,282.5825500488281,289.5242004394531,0
2022-01-31,292.754638671875,304.21612548828125,292.754638671875,302.62786865234375,0
2022-02-28,303.4434814453125,305.37554931640625,284.7505187988281,293.32537841796875,0
2022-03-31,293.2904052734375,302.01019287109375,287.2442932128906,302.01019287109375,0
2022-04-30,306.5759582519531,314.4581604003906,306.5759582519531,307.28863525390625,0
2022-05-31,307.2796325683594,307.2796325683594,291.0904235839844,303.5824279785156,0
2022-06-30,304.1651306152344,305.13665771484375,288.0229187011719,295.9820861816406,0
2022-07-31,296.54681396484375,316.2223205566406,296.54681396484375,316.2223205566406,0
